Order_ID,Order_Date,Customer_ID,Customer_Age,Gender,City,Product_Category,Product,Quantity,Unit_Price,Discount_Pct,Total_Amount,Payment_Method,Customer_Rating,Delivery_Days,Returned
ORD1002,28-02-2026,CUST10012,35,Other,Mumbai,Home & Kitchen,Water Bottle,2,"? 6,292",20,"? 10,067",Net Banking,1,7,Yes
ORD1003,23-04-2026,CUST10036,56,Other,Pune,Electronics,Keyboard,2,"? 6,120",20,"? 9,792",Net Banking,4,4,No
ORD1004,05-01-2026,CUST10046,45,Other,Navi Mumbai,Clothing,Kurta,2,"? 1,924",25,"? 2,886",Debit Card,1,2,No
ORD1005,27-06-2026,CUST10091,47,Male,Nashik,Sports,Yoga Mat,4,,5,,Net Banking,5,6,No
ORD1006,06-02-2026,CUST10046,32,Other,Mumbai,Clothing,T-Shirt,2,"? 7,381",10,"? 13,286",Debit Card,4,6,No
ORD1007,19-04-2026,CUST10119,61,,Nashik,Grocery,Rice,5,"? 5,441",15,"? 23,125",Credit Card,2,8,No
ORD1008,24-04-2026,CUST10064,32,Male,Nagpur,Electronics,Smart Watch,4,"? 2,364",0,"? 9,455",Net Banking,5,6,No
ORD1009,23-07-2026,CUST10018,,Male,Ahmedabad,Home & Kitchen,Water Bottle,5,"? 4,637",20,"? 18,547",Net Banking,4,7,No
ORD1010,19-09-2026,CUST10060,21,Male,Ahmedabad,Electronics,Power Bank,2,"? 6,758",10,"? 12,164",Net Banking,1,7,No
ORD1011,10-05-2026,CUST10001,25,Other,Mumbai,Grocery,Dry Fruits,3,"? 6,561",5,"? 18,698",UPI,3,7,No
ORD1012,16-05-2026,CUST10100,24,Other,Navi Mumbai,Grocery,Biscuits,5,"? 5,223",0,"? 26,116",Debit Card,5,3,No
ORD1013,02-01-2026,CUST10105,19,Female,Nagpur,Electronics,Smart Watch,3,"? 2,127",0,"? 6,380",Net Banking,1,2,No
ORD1014,06-02-2026,CUST10097,60,Male,,Beauty,Lip Balm,2,"? 2,341",25,"? 3,512",Net Banking,4,4,No
ORD1015,14-04-2026,CUST10003,60,Female,Nashik,Grocery,Biscuits,4,"? 7,659",10,"? 27,572",UPI,2,4,Yes
ORD1016,29-04-2026,CUST10086,22,Male,Pune,Grocery,Rice,2,? 685,0,"? 1,370",Debit Card,,9,No
ORD1017,07-09-2026,CUST10013,26,Other,Pune,Grocery,Dry Fruits,5,"? 4,081",25,"? 15,304",Cash,5,7,No
ORD1018,10-08-2026,CUST10025,44,Female,Nagpur,Beauty,Face Wash,1,? 628,,,Debit Card,5,2,No
ORD1019,19-08-2026,CUST10084,29,Female,Navi Mumbai,Clothing,Hoodie,2,"? 7,448",0,"? 14,896",Cash,5,9,Yes
ORD1020,09-01-2026,CUST10050,28,Male,Thane,,Sunscreen,4,"? 1,911",10,"? 6,880",UPI,2,7,Yes
ORD1021,17-05-2026,CUST10041,45,Female,Ahmedabad,Grocery,Dry Fruits,4,"? 1,417",5,"? 5,385",Credit Card,1,9,Yes
ORD1022,31-01-2026,CUST10009,48,Other,Mumbai,Sports,Running Shoes,2,? 597,15,"? 1,014",UPI,5,,Yes
ORD1023,02-05-2026,CUST10034,54,Male,Surat,Home & Kitchen,Table Lamp,5,? 453,0,"? 2,265",Cash,5,9,No
ORD1024,16-04-2026,CUST10073,,Male,Nagpur,Beauty,Shampoo,3,"? 3,952",25,"? 8,891",UPI,1,8,No
ORD1025,22-02-2026,CUST10107,31,Other,Thane,Sports,Football,2,"? 7,941",0,"? 15,881",Credit Card,3,5,No
ORD1026,05-06-2026,CUST10027,53,Other,Mumbai,Clothing,T-Shirt,2,"? 2,336",0,"? 4,672",,2,5,No
ORD1027,26-06-2026,CUST10006,58,Other,Pune,Clothing,Sneakers,4,"? 2,224",25,"? 6,673",UPI,1,7,No
ORD1028,03-01-2026,CUST10114,58,Male,Nagpur,Clothing,Jeans,4,"? 4,743",10,"? 17,075",Net Banking,1,2,Yes
ORD1029,19-03-2026,CUST10027,55,Female,Mumbai,Sports,Cricket Bat,4,"? 1,188",5,"? 4,514",Debit Card,5,1,No
ORD1030,09-05-2026,CUST10004,53,Female,Thane,Beauty,Lip Balm,2,,0,,Credit Card,5,3,No
ORD1031,03-04-2026,CUST10029,60,Female,Nagpur,Grocery,Coffee,3,"? 1,454",20,"? 3,490",UPI,4,1,No
ORD1032,14-04-2026,CUST10036,37,Female,Ahmedabad,Home & Kitchen,Water Bottle,1,"? 5,651",10,"? 5,086",Debit Card,3,2,No
ORD1033,30-06-2026,CUST10077,52,,Surat,Clothing,T-Shirt,1,"? 7,470",5,"? 7,096",Credit Card,4,5,Yes
ORD1034,12-08-2026,CUST10001,38,Other,Nagpur,Beauty,Lip Balm,5,"? 1,089",15,"? 4,629",Credit Card,3,1,No
ORD1035,12-04-2026,CUST10086,22,Female,Nagpur,Grocery,Biscuits,5,"? 2,751",25,"? 10,315",UPI,5,5,No
ORD1036,30-07-2026,CUST10039,62,Female,Nagpur,Clothing,Sneakers,2,"? 1,728",20,"? 2,764",Cash,5,3,
ORD1037,28-07-2026,CUST10066,36,Female,Mumbai,Home & Kitchen,Storage Box,5,"? 5,204",5,"? 24,718",Cash,4,8,No
ORD1038,01-09-2026,CUST10026,23,Other,Navi Mumbai,Clothing,Sneakers,5,"? 2,929",25,"? 10,983",Credit Card,5,5,No
