Product Name,Total Sales,Rank,% of Total Sales
Canon imageCLASS 2200 Advanced Copier,61599.824,1,2.68
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,27453.384000000002,2,1.2
Cisco TelePresence System EX90 Videoconferencing Unit,22638.48,3,0.99
HON 5400 Series Task Chairs for Big and Tall,21870.576,4,0.95
GBC DocuBind TL300 Electric Binding System,19823.479,5,0.86
GBC Ibimaster 500 Manual ProClick Binding System,19024.5,6,0.83
Hewlett Packard LaserJet 3310 Copier,18839.686,7,0.82
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",18374.895,8,0.8
GBC DocuBind P400 Electric Binding System,17965.068,9,0.78
High Speed Automatic Electric Letter Opener,17030.311999999998,10,0.74
Lexmark MX611dhe Monochrome Laser Printer,16829.901,11,0.73
Martin Yale Chadless Opener Electric Letter Opener,16656.2,12,0.73
Ibico EPK-21 Electric Binding System,15875.916000000001,13,0.69
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",15610.9656,14,0.68
"3D Systems Cube Printer, 2nd Generation, Magenta",14299.89,15,0.62
Samsung Galaxy Mega 6.3,13943.668,16,0.61
Apple iPhone 5,12996.600000000002,17,0.57
Bretford Rectangular Conference Table Tops,12995.2915,18,0.57
Global Troy Executive Leather Low-Back Tilter,12975.382,19,0.56
Canon PC1060 Personal Laser Copier,11619.833999999999,20,0.51
SAFCO Arco Folding Chair,11572.78,21,0.5
Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,11304.44,22,0.49
Cubify CubeX 3D Printer Double Head Print,11099.963,23,0.48
DMI Eclipse Executive Suite Bookcases,11046.609,24,0.48
Tennsco 6- and 18-Compartment Lockers,10925.003999999999,25,0.48
Plantronics CS510 - Over-the-Head monaural Wireless Headset System,10822.36,26,0.47
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",10637.528,27,0.46
Logitech P710e Mobile Speakerphone,10196.604,28,0.44
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,9917.640000000001,29,0.43
Tennsco Double-Tier Lockers,9630.856,30,0.42
Bush Advantage Collection Racetrack Conference Table,9544.725,31,0.42
Plantronics Savi W720 Multi-Device Wireless Headset System,9367.289999999999,32,0.41
Bady BDG101FRU Card Printer,9279.884,33,0.4
Tennsco Single-Tier Lockers,9158.296,34,0.4
