Product Name,Total Sales,Rank,% of Total Sales
Canon imageCLASS 2200 Advanced Copier,61599.824,1,2.68
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,27453.384000000002,2,1.2
Cisco TelePresence System EX90 Videoconferencing Unit,22638.48,3,0.99
HON 5400 Series Task Chairs for Big and Tall,21870.576,4,0.95
GBC DocuBind TL300 Electric Binding System,19823.479,5,0.86
GBC Ibimaster 500 Manual ProClick Binding System,19024.5,6,0.83
Hewlett Packard LaserJet 3310 Copier,18839.686,7,0.82
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",18374.895,8,0.8
GBC DocuBind P400 Electric Binding System,17965.068,9,0.78
High Speed Automatic Electric Letter Opener,17030.311999999998,10,0.74
